model,len,proc,itr,time
MS4,128,2,28,0.000435
FD4,128,2,28,0.000277
MS2,128,2,28,0.000748
FD2,128,2,28,0.000444
MS4,128,4,28,0.000429
FD4,128,4,28,0.000265
MS2,128,4,28,0.000647
FD2,128,4,28,0.000483
MS4,128,8,28,0.000774
FD4,128,8,28,0.000462
MS2,128,8,28,0.001051
FD2,128,8,28,0.000737
MS4,128,16,28,0.001960
FD4,128,16,28,0.000631
MS2,128,16,28,0.002748
FD2,128,16,28,0.001003
MS4,128,32,28,0.006802
FD4,128,32,28,0.000884
MS2,128,32,28,0.005966
FD2,128,32,28,0.001327
MS4,256,2,33,0.001227
FD4,256,2,33,0.000542
MS2,256,2,32,0.002195
FD2,256,2,32,0.001008
MS4,256,4,33,0.000730
FD4,256,4,33,0.000549
MS2,256,4,32,0.001254
FD2,256,4,32,0.000938
MS4,256,8,33,0.001108
FD4,256,8,33,0.000753
MS2,256,8,32,0.001736
FD2,256,8,32,0.001208
MS4,256,16,33,0.002322
FD4,256,16,33,0.000975
MS2,256,16,32,0.003662
FD2,256,16,32,0.001647
MS4,256,32,33,0.004598
FD4,256,32,33,0.001097
MS2,256,32,32,0.006941
FD2,256,32,32,0.011801
MS4,512,2,40,0.004273
FD4,512,2,40,0.001687
MS2,512,2,39,0.007792
FD2,512,2,39,0.003109
MS4,512,4,40,0.001800
FD4,512,4,40,0.001332
MS2,512,4,39,0.003283
FD2,512,4,39,0.002597
MS4,512,8,40,0.002265
FD4,512,8,40,0.001429
MS2,512,8,39,0.003753
FD2,512,8,39,0.002617
MS4,512,16,40,0.003855
FD4,512,16,40,0.001811
MS2,512,16,39,0.006034
FD2,512,16,39,0.003042
MS4,512,32,40,0.012510
FD4,512,32,40,0.001986
MS2,512,32,39,0.010236
FD2,512,32,39,0.027144
MS4,1024,2,48,0.017660
FD4,1024,2,48,0.006475
MS2,1024,2,48,0.032782
FD2,1024,2,48,0.012052
MS4,1024,4,48,0.006283
FD4,1024,4,48,0.005231
MS2,1024,4,48,0.012212
FD2,1024,4,48,0.008962
MS4,1024,8,48,0.006712
FD4,1024,8,48,0.004853
MS2,1024,8,48,0.013704
FD2,1024,8,48,0.008779
MS4,1024,16,48,0.007904
FD4,1024,16,48,0.004970
MS2,1024,16,48,0.016027
FD2,1024,16,48,0.010162
MS4,1024,32,48,0.010672
FD4,1024,32,48,0.005146
MS2,1024,32,48,0.020885
FD2,1024,32,48,0.010422
MS4,2048,2,64,0.095549
FD4,2048,2,64,0.030097
MS2,2048,2,60,0.167257
FD2,2048,2,60,0.051147
MS4,2048,4,64,0.029647
FD4,2048,4,64,0.022971
MS2,2048,4,60,0.052095
FD2,2048,4,60,0.038788
MS4,2048,8,64,0.030987
FD4,2048,8,64,0.023362
MS2,2048,8,60,0.058739
FD2,2048,8,60,0.037698
MS4,2048,16,64,0.032810
FD4,2048,16,64,0.023345
MS2,2048,16,60,0.060987
FD2,2048,16,60,0.040955
MS4,2048,32,64,0.032141
FD4,2048,32,64,0.024702
MS2,2048,32,60,0.068092
FD2,2048,32,60,0.040500
MS4,4096,2,70,0.384222
FD4,4096,2,70,0.117835
MS2,4096,2,70,0.710615
FD2,4096,2,70,0.218191
MS4,4096,4,70,0.109634
FD4,4096,4,70,0.045782
MS2,4096,4,70,0.216823
FD2,4096,4,70,0.093435
MS4,4096,8,70,0.057048
FD4,4096,8,70,0.040603
MS2,4096,8,70,0.118384
FD2,4096,8,70,0.088461
MS4,4096,16,70,0.057370
FD4,4096,16,70,0.041628
MS2,4096,16,70,0.130987
FD2,4096,16,70,0.088315
MS4,4096,32,70,0.062147
FD4,4096,32,70,0.043208
MS2,4096,32,70,0.141676
FD2,4096,32,70,0.087921
