model,len,proc,itr,time
MS4,128,2,26,0.000401
FD4,128,2,26,0.000246
MS2,128,2,25,0.000713
FD2,128,2,25,0.000420
MS4,128,4,26,0.000406
FD4,128,4,26,0.000290
MS2,128,4,25,0.000667
FD2,128,4,25,0.000457
MS4,128,8,26,0.000629
FD4,128,8,26,0.000520
MS2,128,8,25,0.001160
FD2,128,8,25,0.000728
MS4,128,16,26,0.001865
FD4,128,16,26,0.000597
MS2,128,16,25,0.002795
FD2,128,16,25,0.000922
MS4,128,32,26,0.035867
FD4,128,32,26,0.001663
MS2,128,32,25,0.005701
FD2,128,32,25,0.010863
MS4,256,2,31,0.001117
FD4,256,2,31,0.000501
MS2,256,2,31,0.002056
FD2,256,2,31,0.000955
MS4,256,4,31,0.000710
FD4,256,4,31,0.000463
MS2,256,4,31,0.001239
FD2,256,4,31,0.000926
MS4,256,8,31,0.000986
FD4,256,8,31,0.000781
MS2,256,8,31,0.001720
FD2,256,8,31,0.001177
MS4,256,16,31,0.002207
FD4,256,16,31,0.000897
MS2,256,16,31,0.003785
FD2,256,16,31,0.001623
MS4,256,32,31,0.004491
FD4,256,32,31,0.016011
MS2,256,32,31,0.007465
FD2,256,32,31,0.001901
MS4,512,2,38,0.003881
FD4,512,2,38,0.001339
MS2,512,2,38,0.007312
FD2,512,2,38,0.002578
MS4,512,4,38,0.001365
FD4,512,4,38,0.001054
MS2,512,4,38,0.002676
FD2,512,4,38,0.001983
MS4,512,8,38,0.001792
FD4,512,8,38,0.001264
MS2,512,8,38,0.002703
FD2,512,8,38,0.002579
MS4,512,16,38,0.002954
FD4,512,16,38,0.001557
MS2,512,16,38,0.005912
FD2,512,16,38,0.002704
MS4,512,32,38,0.005495
FD4,512,32,38,0.003953
MS2,512,32,38,0.009875
FD2,512,32,38,0.003010
MS4,1024,2,54,0.020088
FD4,1024,2,54,0.005999
MS2,1024,2,53,0.037422
FD2,1024,2,53,0.011219
MS4,1024,4,54,0.005694
FD4,1024,4,54,0.004091
MS2,1024,4,53,0.011005
FD2,1024,4,53,0.007991
MS4,1024,8,54,0.005501
FD4,1024,8,54,0.004427
MS2,1024,8,53,0.012509
FD2,1024,8,53,0.007547
MS4,1024,16,54,0.008332
FD4,1024,16,54,0.008758
MS2,1024,16,53,0.012204
FD2,1024,16,53,0.008834
MS4,1024,32,54,0.011442
FD4,1024,32,54,0.004757
MS2,1024,32,53,0.019779
FD2,1024,32,53,0.013596
MS4,2048,2,58,0.082688
FD4,2048,2,58,0.026777
MS2,2048,2,58,0.155111
FD2,2048,2,58,0.049441
MS4,2048,4,58,0.020864
FD4,2048,4,58,0.014037
MS2,2048,4,58,0.041230
FD2,2048,4,58,0.027892
MS4,2048,8,58,0.016677
FD4,2048,8,58,0.013203
MS2,2048,8,58,0.041085
FD2,2048,8,58,0.029603
MS4,2048,16,58,0.020852
FD4,2048,16,58,0.013900
MS2,2048,16,58,0.044028
FD2,2048,16,58,0.029287
MS4,2048,32,58,0.034758
FD4,2048,32,58,0.013978
MS2,2048,32,58,0.049784
FD2,2048,32,58,0.026348
MS4,4096,2,71,0.387959
FD4,4096,2,71,0.121763
MS2,4096,2,71,0.719736
FD2,4096,2,71,0.225120
MS4,4096,4,71,0.110693
FD4,4096,4,71,0.082756
MS2,4096,4,71,0.216781
FD2,4096,4,71,0.157892
MS4,4096,8,71,0.105843
FD4,4096,8,71,0.079138
MS2,4096,8,71,0.212030
FD2,4096,8,71,0.155124
MS4,4096,16,71,0.105442
FD4,4096,16,71,0.080316
MS2,4096,16,71,0.214371
FD2,4096,16,71,0.154038
MS4,4096,32,71,0.116784
FD4,4096,32,71,0.077537
MS2,4096,32,71,0.229827
FD2,4096,32,71,0.147219
MS4,8192,2,83,1.830913
FD4,8192,2,83,0.654497
MS2,8192,2,82,3.348772
FD2,8192,2,82,1.155962
MS4,8192,4,83,0.631230
FD4,8192,4,83,0.266028
MS2,8192,4,82,1.157279
FD2,8192,4,82,0.495521
MS4,8192,8,83,0.272157
FD4,8192,8,83,0.240058
MS2,8192,8,82,0.510482
FD2,8192,8,82,0.445576
MS4,8192,16,83,0.258764
FD4,8192,16,83,0.234594
MS2,8192,16,82,0.525366
FD2,8192,16,82,0.448898
MS4,8192,32,83,0.275581
FD4,8192,32,83,0.212486
MS2,8192,32,82,0.608724
FD2,8192,32,82,0.409266
MS4,16384,2,96,8.340812
FD4,16384,2,96,2.837168
MS2,16384,2,96,15.279629
FD2,16384,2,96,5.083776
MS4,16384,4,96,2.662648
FD4,16384,4,96,2.066428
MS2,16384,4,96,5.037826
FD2,16384,4,96,3.757296
MS4,16384,8,96,2.361419
FD4,16384,8,96,1.961217
MS2,16384,8,96,4.518831
FD2,16384,8,96,3.576827
MS4,16384,16,96,2.351337
FD4,16384,16,96,1.941867
MS2,16384,16,96,4.436515
FD2,16384,16,96,3.536238
MS4,16384,32,96,2.632631
FD4,16384,32,96,1.942658
MS2,16384,32,96,5.419826
FD2,16384,32,96,3.722495
MS4,32768,2,108,36.728611
FD4,32768,2,108,12.246726
MS2,32768,2,108,66.852618
FD2,32768,2,108,21.815590
MS4,32768,4,108,11.565094
FD4,32768,4,108,8.822809
MS2,32768,4,108,21.751087
FD2,32768,4,108,15.958867
MS4,32768,8,108,5.125192
FD4,32768,8,108,4.223387
MS2,32768,8,108,10.228992
FD2,32768,8,108,8.063976
MS4,32768,16,108,5.008334
FD4,32768,16,108,4.149330
MS2,32768,16,108,9.992545
FD2,32768,16,108,7.935970
MS4,32768,32,108,5.017161
FD4,32768,32,108,4.178306
MS2,32768,32,108,11.075976
FD2,32768,32,108,8.172745
MS4,65536,2,122,162.510478
FD4,65536,2,122,53.272908
MS2,65536,2,122,295.854023
FD2,65536,2,122,94.615973
MS4,65536,4,122,48.028442
FD4,65536,4,122,37.484486
MS2,65536,4,122,90.019650
FD2,65536,4,122,67.511131
MS4,65536,8,122,38.985319
FD4,65536,8,122,32.502975
MS2,65536,8,122,73.924486
FD2,65536,8,122,58.814566
MS4,65536,16,122,38.363306
FD4,65536,16,122,32.075664
MS2,65536,16,122,72.863566
FD2,65536,16,122,58.236903
MS4,65536,32,122,38.997737
FD4,65536,32,122,32.412999
MS2,65536,32,122,74.432785
FD2,65536,32,122,61.576147
SQ4,128,1,26,0.000467
SQ2,128,1,25,0.001028
SQ4,256,1,31,0.001450
SQ2,256,1,31,0.002413
SQ4,512,1,38,0.003723
SQ2,512,1,38,0.008007
SQ4,1024,1,54,0.018151
SQ2,1024,1,53,0.040028
SQ4,2048,1,58,0.075177
SQ2,2048,1,58,0.167065
SQ4,4096,1,71,0.353120
SQ2,4096,1,71,0.783952
SQ4,8192,1,83,1.664813
SQ2,8192,1,82,3.683897
SQ4,16384,1,96,7.529528
SQ2,16384,1,96,16.897185
SQ4,32768,1,108,33.137949
SQ2,32768,1,108,74.399831
SQ4,65536,1,122,146.194208
SQ2,65536,1,122,328.887516
