model,len,proc,itr,time
MS4,128,2,27,0.000410
FD4,128,2,27,0.000254
MS2,128,2,27,0.000746
FD2,128,2,27,0.000442
MS4,128,4,27,0.000453
FD4,128,4,27,0.000331
MS2,128,4,27,0.000678
FD2,128,4,27,0.000512
MS4,128,8,27,0.000812
FD4,128,8,27,0.000445
MS2,128,8,27,0.001132
FD2,128,8,27,0.000736
MS4,128,16,27,0.001902
FD4,128,16,27,0.000709
MS2,128,16,27,0.002718
FD2,128,16,27,0.001119
MS4,128,32,27,0.003993
FD4,128,32,27,0.000890
MS2,128,32,27,0.006465
FD2,128,32,27,0.003408
MS4,256,2,35,0.001318
FD4,256,2,35,0.000592
MS2,256,2,35,0.002329
FD2,256,2,35,0.001043
MS4,256,4,35,0.000789
FD4,256,4,35,0.000499
MS2,256,4,35,0.001297
FD2,256,4,35,0.000970
MS4,256,8,35,0.001042
FD4,256,8,35,0.000712
MS2,256,8,35,0.001991
FD2,256,8,35,0.001398
MS4,256,16,35,0.002446
FD4,256,16,35,0.000959
MS2,256,16,35,0.003740
FD2,256,16,35,0.001708
MS4,256,32,35,0.004812
FD4,256,32,35,0.001164
MS2,256,32,35,0.008907
FD2,256,32,35,0.002019
MS4,512,2,39,0.004202
FD4,512,2,39,0.001867
MS2,512,2,39,0.007823
FD2,512,2,39,0.002780
MS4,512,4,39,0.001459
FD4,512,4,39,0.001052
MS2,512,4,39,0.002987
FD2,512,4,39,0.002276
MS4,512,8,39,0.001970
FD4,512,8,39,0.001360
MS2,512,8,39,0.003471
FD2,512,8,39,0.002728
MS4,512,16,39,0.003065
FD4,512,16,39,0.001495
MS2,512,16,39,0.005603
FD2,512,16,39,0.003057
MS4,512,32,39,0.005515
FD4,512,32,39,0.002565
MS2,512,32,39,0.010049
FD2,512,32,39,0.003193
MS4,1024,2,51,0.020104
FD4,1024,2,51,0.009887
MS2,1024,2,50,0.038516
FD2,1024,2,50,0.018969
MS4,1024,4,51,0.010085
FD4,1024,4,51,0.007483
MS2,1024,4,50,0.023590
FD2,1024,4,50,0.015332
MS4,1024,8,51,0.007159
FD4,1024,8,51,0.005061
MS2,1024,8,50,0.012385
FD2,1024,8,50,0.009821
MS4,1024,16,51,0.008186
FD4,1024,16,51,0.005089
MS2,1024,16,50,0.016208
FD2,1024,16,50,0.010642
MS4,1024,32,51,0.011121
FD4,1024,32,51,0.005125
MS2,1024,32,50,0.019007
FD2,1024,32,50,0.010519
MS4,2048,2,61,0.088278
FD4,2048,2,61,0.027694
MS2,2048,2,60,0.162637
FD2,2048,2,60,0.050744
MS4,2048,4,61,0.027640
FD4,2048,4,61,0.020570
MS2,2048,4,60,0.052924
FD2,2048,4,60,0.038139
MS4,2048,8,61,0.023792
FD4,2048,8,61,0.019192
MS2,2048,8,60,0.056742
FD2,2048,8,60,0.040110
MS4,2048,16,61,0.029761
FD4,2048,16,61,0.019901
MS2,2048,16,60,0.058636
FD2,2048,16,60,0.040172
MS4,2048,32,61,0.033049
FD4,2048,32,61,0.019948
MS2,2048,32,60,0.068026
FD2,2048,32,60,0.038783
MS4,4096,2,73,0.421899
FD4,4096,2,73,0.114205
MS2,4096,2,71,0.764200
FD2,4096,2,71,0.206867
MS4,4096,4,73,0.099683
FD4,4096,4,73,0.046032
MS2,4096,4,71,0.191516
FD2,4096,4,71,0.089233
MS4,4096,8,73,0.042999
FD4,4096,8,73,0.035015
MS2,4096,8,71,0.110713
FD2,4096,8,71,0.070029
MS4,4096,16,73,0.050690
FD4,4096,16,73,0.035882
MS2,4096,16,71,0.113120
FD2,4096,16,71,0.077576
MS4,4096,32,73,0.056123
FD4,4096,32,73,0.040760
MS2,4096,32,71,0.122451
FD2,4096,32,71,0.078287
MS4,8192,2,85,1.937516
FD4,8192,2,85,0.564053
MS2,8192,2,83,3.512739
FD2,8192,2,83,1.004303
MS4,8192,4,85,0.437076
FD4,8192,4,85,0.327016
MS2,8192,4,83,0.830044
FD2,8192,4,83,0.594818
MS4,8192,8,85,0.199964
FD4,8192,8,85,0.161923
MS2,8192,8,83,0.409136
FD2,8192,8,83,0.316276
MS4,8192,16,85,0.191920
FD4,8192,16,85,0.148041
MS2,8192,16,83,0.428750
FD2,8192,16,83,0.298159
MS4,8192,32,85,0.211968
FD4,8192,32,85,0.166167
MS2,8192,32,83,0.461639
FD2,8192,32,83,0.288798
MS4,16384,2,95,8.054318
FD4,16384,2,95,2.734169
MS2,16384,2,95,14.752796
FD2,16384,2,95,4.910244
MS4,16384,4,95,1.571547
FD4,16384,4,95,1.126446
MS2,16384,4,95,3.083404
FD2,16384,4,95,2.145532
MS4,16384,8,95,1.224002
FD4,16384,8,95,1.015132
MS2,16384,8,95,2.464585
FD2,16384,8,95,1.934264
MS4,16384,16,95,1.200433
FD4,16384,16,95,0.994988
MS2,16384,16,95,2.435970
FD2,16384,16,95,1.914717
MS4,16384,32,95,1.330970
FD4,16384,32,95,0.991204
MS2,16384,32,95,2.594498
FD2,16384,32,95,1.944917
MS4,32768,2,112,39.471677
FD4,32768,2,112,11.379508
MS2,32768,2,110,70.710632
FD2,32768,2,110,19.975808
MS4,32768,4,112,10.592108
FD4,32768,4,112,4.502372
MS2,32768,4,110,19.574173
FD2,32768,4,110,8.248990
MS4,32768,8,112,4.980512
FD4,32768,8,112,4.125032
MS2,32768,8,110,9.563708
FD2,32768,8,110,7.605879
MS4,32768,16,112,4.891175
FD4,32768,16,112,4.051547
MS2,32768,16,110,9.448199
FD2,32768,16,110,7.479909
