model,len,proc,itr,time
MS4,128,2,25,0.000380
FD4,128,2,25,0.000241
MS2,128,2,24,0.000750
FD2,128,2,24,0.000394
MS4,128,4,25,0.000486
FD4,128,4,25,0.000270
MS2,128,4,24,0.000626
FD2,128,4,24,0.000436
MS4,128,8,25,0.000826
FD4,128,8,25,0.000465
MS2,128,8,24,0.001334
FD2,128,8,24,0.000707
MS4,128,16,25,0.001838
FD4,128,16,25,0.000604
MS2,128,16,24,0.002591
FD2,128,16,24,0.001682
MS4,128,32,25,0.003778
FD4,128,32,25,0.002738
MS2,128,32,24,0.004440
FD2,128,32,24,0.001388
MS4,256,2,32,0.001155
FD4,256,2,32,0.000477
MS2,256,2,31,0.002071
FD2,256,2,31,0.000868
MS4,256,4,32,0.000604
FD4,256,4,32,0.000350
MS2,256,4,31,0.000984
FD2,256,4,31,0.000647
MS4,256,8,32,0.000823
FD4,256,8,32,0.000605
MS2,256,8,31,0.001577
FD2,256,8,31,0.000938
MS4,256,16,32,0.002163
FD4,256,16,32,0.000832
MS2,256,16,31,0.003113
FD2,256,16,31,0.001379
MS4,256,32,32,0.004587
FD4,256,32,32,0.008190
MS2,256,32,31,0.006647
FD2,256,32,31,0.008633
MS4,512,2,39,0.004178
FD4,512,2,39,0.002266
MS2,512,2,39,0.007777
FD2,512,2,39,0.003367
MS4,512,4,39,0.002491
FD4,512,4,39,0.001744
MS2,512,4,39,0.005129
FD2,512,4,39,0.003468
MS4,512,8,39,0.002065
FD4,512,8,39,0.001411
MS2,512,8,39,0.003569
FD2,512,8,39,0.002878
MS4,512,16,39,0.003286
FD4,512,16,39,0.001609
MS2,512,16,39,0.006718
FD2,512,16,39,0.003153
MS4,512,32,39,0.004933
FD4,512,32,39,0.009838
MS2,512,32,39,0.011083
FD2,512,32,39,0.003606
MS4,1024,2,48,0.017245
FD4,1024,2,48,0.005858
MS2,1024,2,48,0.033007
FD2,1024,2,48,0.011129
MS4,1024,4,48,0.005919
FD4,1024,4,48,0.003825
MS2,1024,4,48,0.011258
FD2,1024,4,48,0.008957
MS4,1024,8,48,0.004758
FD4,1024,8,48,0.003648
MS2,1024,8,48,0.010655
FD2,1024,8,48,0.007396
MS4,1024,16,48,0.005805
FD4,1024,16,48,0.003469
MS2,1024,16,48,0.013326
FD2,1024,16,48,0.007384
MS4,1024,32,48,0.015029
FD4,1024,32,48,0.003589
MS2,1024,32,48,0.017758
FD2,1024,32,48,0.006738
MS4,2048,2,59,0.085566
FD4,2048,2,59,0.028365
MS2,2048,2,59,0.159589
FD2,2048,2,59,0.052187
MS4,2048,4,59,0.020490
FD4,2048,4,59,0.015085
MS2,2048,4,59,0.042902
FD2,2048,4,59,0.029430
MS4,2048,8,59,0.020159
FD4,2048,8,59,0.015027
MS2,2048,8,59,0.043946
FD2,2048,8,59,0.028192
MS4,2048,16,59,0.019163
FD4,2048,16,59,0.014833
MS2,2048,16,59,0.046798
FD2,2048,16,59,0.030587
MS4,2048,32,59,0.025432
FD4,2048,32,59,0.014814
MS2,2048,32,59,0.042931
FD2,2048,32,59,0.030630
MS4,4096,2,69,0.385911
FD4,4096,2,69,0.115088
MS2,4096,2,69,0.714530
FD2,4096,2,69,0.214028
MS4,4096,4,69,0.101101
FD4,4096,4,69,0.077183
MS2,4096,4,69,0.199891
FD2,4096,4,69,0.147516
MS4,4096,8,69,0.093845
FD4,4096,8,69,0.076600
MS2,4096,8,69,0.214025
FD2,4096,8,69,0.139943
MS4,4096,16,69,0.100759
FD4,4096,16,69,0.074227
MS2,4096,16,69,0.206194
FD2,4096,16,69,0.146651
MS4,4096,32,69,0.108465
FD4,4096,32,69,0.074022
MS2,4096,32,69,0.227291
FD2,4096,32,69,0.146359
MS4,8192,2,83,1.809187
FD4,8192,2,83,0.549518
MS2,8192,2,82,3.309889
FD2,8192,2,82,0.986164
MS4,8192,4,83,0.528980
FD4,8192,4,83,0.415443
MS2,8192,4,82,0.999843
FD2,8192,4,82,0.752261
MS4,8192,8,83,0.492194
FD4,8192,8,83,0.395441
MS2,8192,8,82,0.906447
FD2,8192,8,82,0.718745
MS4,8192,16,83,0.528223
FD4,8192,16,83,0.396851
MS2,8192,16,82,0.897118
FD2,8192,16,82,0.707064
MS4,8192,32,83,0.478095
FD4,8192,32,83,0.399884
MS2,8192,32,82,1.161550
FD2,8192,32,82,0.739926
MS4,16384,2,94,7.636489
FD4,16384,2,94,2.314383
MS2,16384,2,94,14.048812
FD2,16384,2,94,4.196949
MS4,16384,4,94,2.085313
FD4,16384,4,94,1.520344
MS2,16384,4,94,4.001160
FD2,16384,4,94,2.820040
MS4,16384,8,94,1.653716
FD4,16384,8,94,1.342427
MS2,16384,8,94,3.224146
FD2,16384,8,94,2.503417
MS4,16384,16,94,1.618260
FD4,16384,16,94,1.315408
MS2,16384,16,94,3.151153
FD2,16384,16,94,2.463836
MS4,16384,32,94,1.724744
FD4,16384,32,94,1.332249
MS2,16384,32,94,3.750137
FD2,16384,32,94,2.485174
MS4,32768,2,108,35.367638
FD4,32768,2,108,11.379003
MS2,32768,2,108,64.581527
FD2,32768,2,108,20.343167
MS4,32768,4,108,9.121045
FD4,32768,4,108,6.831614
MS2,32768,4,108,17.414270
FD2,32768,4,108,12.528863
MS4,32768,8,108,7.578203
FD4,32768,8,108,6.310248
MS2,32768,8,108,14.613936
FD2,32768,8,108,11.644473
MS4,32768,16,108,7.514321
FD4,32768,16,108,6.233225
MS2,32768,16,108,14.471251
FD2,32768,16,108,11.535236
MS4,32768,32,108,7.483166
FD4,32768,32,108,6.169255
MS2,32768,32,108,14.542822
FD2,32768,32,108,12.042316
MS4,65536,2,122,167.348441
FD4,65536,2,122,58.213697
MS2,65536,2,122,302.914631
FD2,65536,2,122,102.896826
MS4,65536,4,122,56.255550
FD4,65536,4,122,44.405070
MS2,65536,4,122,104.747410
FD2,65536,4,122,79.283659
MS4,65536,8,122,50.851997
FD4,65536,8,122,42.426301
MS2,65536,8,122,95.018054
FD2,65536,8,122,75.785302
MS4,65536,16,122,50.260158
FD4,65536,16,122,42.037543
MS2,65536,16,122,94.052466
FD2,65536,16,122,75.240132
MS4,65536,32,122,51.114932
FD4,65536,32,122,42.531606
MS2,65536,32,122,115.148226
FD2,65536,32,122,79.770635
SQ4,128,1,25,0.000444
SQ2,128,1,24,0.000949
SQ4,256,1,32,0.001284
SQ2,256,1,31,0.002520
SQ4,512,1,39,0.004059
SQ2,512,1,39,0.008520
SQ4,1024,1,48,0.015502
SQ2,1024,1,48,0.034831
SQ4,2048,1,59,0.078307
SQ2,2048,1,59,0.172877
SQ4,4096,1,69,0.348742
SQ2,4096,1,69,0.775079
SQ4,8192,1,83,1.644180
SQ2,8192,1,82,3.631384
SQ4,16384,1,94,6.916302
SQ2,16384,1,94,15.516946
SQ4,32768,1,108,31.910272
SQ2,32768,1,108,71.785400
SQ4,65536,1,122,150.463225
