model,len,proc,itr,time
MS4,128,2,24,0.000356
FD4,128,2,24,0.000228
MS2,128,2,24,0.000670
FD2,128,2,24,0.000386
MS4,128,4,24,0.000388
FD4,128,4,24,0.000253
MS2,128,4,24,0.000753
FD2,128,4,24,0.000477
MS4,128,8,24,0.000718
FD4,128,8,24,0.000467
MS2,128,8,24,0.000922
FD2,128,8,24,0.000739
MS4,128,16,24,0.001704
FD4,128,16,24,0.000607
MS2,128,16,24,0.002723
FD2,128,16,24,0.000948
MS4,128,32,24,0.007672
FD4,128,32,24,0.000859
MS2,128,32,24,0.005602
FD2,128,32,24,0.001524
MS4,256,2,32,0.001212
FD4,256,2,32,0.000748
MS2,256,2,31,0.002994
FD2,256,2,31,0.001364
MS4,256,4,32,0.000777
FD4,256,4,32,0.000675
MS2,256,4,31,0.001390
FD2,256,4,31,0.000963
MS4,256,8,32,0.001135
FD4,256,8,32,0.000831
MS2,256,8,31,0.001730
FD2,256,8,31,0.001385
MS4,256,16,32,0.002267
FD4,256,16,32,0.000916
MS2,256,16,31,0.003591
FD2,256,16,31,0.001669
MS4,256,32,32,0.004654
FD4,256,32,32,0.003409
MS2,256,32,31,0.007652
FD2,256,32,31,0.013543
MS4,512,2,40,0.004172
FD4,512,2,40,0.001665
MS2,512,2,40,0.007965
FD2,512,2,40,0.003087
MS4,512,4,40,0.001403
FD4,512,4,40,0.000978
MS2,512,4,40,0.002548
FD2,512,4,40,0.001759
MS4,512,8,40,0.001468
FD4,512,8,40,0.001100
MS2,512,8,40,0.002688
FD2,512,8,40,0.002327
MS4,512,16,40,0.003090
FD4,512,16,40,0.001268
MS2,512,16,40,0.004990
FD2,512,16,40,0.002297
MS4,512,32,40,0.005734
FD4,512,32,40,0.001483
MS2,512,32,40,0.024779
FD2,512,32,40,0.003430
MS4,1024,2,51,0.019331
FD4,1024,2,51,0.007738
MS2,1024,2,50,0.035515
FD2,1024,2,50,0.013778
MS4,1024,4,51,0.005088
FD4,1024,4,51,0.003507
MS2,1024,4,50,0.009931
FD2,1024,4,50,0.006693
MS4,1024,8,51,0.003752
FD4,1024,8,51,0.002864
MS2,1024,8,50,0.008699
FD2,1024,8,50,0.006370
MS4,1024,16,51,0.005364
FD4,1024,16,51,0.002966
MS2,1024,16,50,0.011093
FD2,1024,16,50,0.006372
MS4,1024,32,51,0.026785
FD4,1024,32,51,0.004137
MS2,1024,32,50,0.015474
FD2,1024,32,50,0.026950
MS4,2048,2,59,0.082636
FD4,2048,2,59,0.025769
MS2,2048,2,59,0.153985
FD2,2048,2,59,0.048096
MS4,2048,4,59,0.023787
FD4,2048,4,59,0.017268
MS2,2048,4,59,0.047121
FD2,2048,4,59,0.033074
MS4,2048,8,59,0.022798
FD4,2048,8,59,0.017339
MS2,2048,8,59,0.039861
FD2,2048,8,59,0.034978
MS4,2048,16,59,0.024521
FD4,2048,16,59,0.016287
MS2,2048,16,59,0.052970
FD2,2048,16,59,0.034393
MS4,2048,32,59,0.028544
FD4,2048,32,59,0.029627
MS2,2048,32,59,0.058835
FD2,2048,32,59,0.037668
MS4,4096,2,72,0.396101
FD4,4096,2,72,0.130553
MS2,4096,2,72,0.734781
FD2,4096,2,72,0.239189
MS4,4096,4,72,0.093976
FD4,4096,4,72,0.071865
MS2,4096,4,72,0.187186
FD2,4096,4,72,0.138162
