model,len,proc,itr,time
MS4,128,2,25,0.000378
FD4,128,2,25,0.000243
MS2,128,2,25,0.000688
FD2,128,2,25,0.000405
MS4,128,4,25,0.000407
FD4,128,4,25,0.000310
MS2,128,4,25,0.000671
FD2,128,4,25,0.000517
MS4,128,8,25,0.000738
FD4,128,8,25,0.000502
MS2,128,8,25,0.000951
FD2,128,8,25,0.000743
MS4,128,16,25,0.001782
FD4,128,16,25,0.000665
MS2,128,16,25,0.002708
FD2,128,16,25,0.000962
MS4,128,32,25,0.010617
FD4,128,32,25,0.000869
MS2,128,32,25,0.010825
FD2,128,32,25,0.001349
MS4,256,2,35,0.001258
FD4,256,2,35,0.000598
MS2,256,2,35,0.002262
FD2,256,2,35,0.001097
MS4,256,4,35,0.000784
FD4,256,4,35,0.000527
MS2,256,4,35,0.001334
FD2,256,4,35,0.001051
MS4,256,8,35,0.001223
FD4,256,8,35,0.000750
MS2,256,8,35,0.002145
FD2,256,8,35,0.001305
MS4,256,16,35,0.002454
FD4,256,16,35,0.001004
MS2,256,16,35,0.003795
FD2,256,16,35,0.001703
MS4,256,32,35,0.004854
FD4,256,32,35,0.001197
MS2,256,32,35,0.010849
FD2,256,32,35,0.010672
MS4,512,2,41,0.004972
FD4,512,2,41,0.001530
MS2,512,2,40,0.010977
FD2,512,2,40,0.002957
MS4,512,4,41,0.001921
FD4,512,4,41,0.001132
MS2,512,4,40,0.004105
FD2,512,4,40,0.002816
MS4,512,8,41,0.001877
FD4,512,8,41,0.001496
MS2,512,8,40,0.003313
FD2,512,8,40,0.002496
MS4,512,16,41,0.003107
FD4,512,16,41,0.001697
MS2,512,16,40,0.006182
FD2,512,16,40,0.003209
MS4,512,32,41,0.038442
FD4,512,32,41,0.001822
MS2,512,32,40,0.009053
FD2,512,32,40,0.003644
MS4,1024,2,49,0.018252
FD4,1024,2,49,0.006492
MS2,1024,2,48,0.033342
FD2,1024,2,48,0.011894
MS4,1024,4,49,0.006578
FD4,1024,4,49,0.004835
MS2,1024,4,48,0.012478
FD2,1024,4,48,0.009359
MS4,1024,8,49,0.005099
FD4,1024,8,49,0.003587
MS2,1024,8,48,0.008865
FD2,1024,8,48,0.006756
MS4,1024,16,49,0.006382
FD4,1024,16,49,0.003599
MS2,1024,16,48,0.012361
FD2,1024,16,48,0.007351
MS4,1024,32,49,0.009507
FD4,1024,32,49,0.003756
MS2,1024,32,48,0.017863
FD2,1024,32,48,0.008321
MS4,2048,2,63,0.088939
FD4,2048,2,63,0.028542
MS2,2048,2,62,0.162681
FD2,2048,2,62,0.051950
MS4,2048,4,63,0.026726
FD4,2048,4,63,0.020115
MS2,2048,4,62,0.050716
FD2,2048,4,62,0.037387
MS4,2048,8,63,0.013304
FD4,2048,8,63,0.011134
MS2,2048,8,62,0.026642
FD2,2048,8,62,0.022245
MS4,2048,16,63,0.013877
FD4,2048,16,63,0.010023
MS2,2048,16,62,0.031283
FD2,2048,16,62,0.022985
MS4,2048,32,63,0.019157
FD4,2048,32,63,0.010582
MS2,2048,32,62,0.046361
FD2,2048,32,62,0.022123
MS4,4096,2,71,0.415960
FD4,4096,2,71,0.126004
MS2,4096,2,70,0.763600
FD2,4096,2,70,0.229113
MS4,4096,4,71,0.116663
FD4,4096,4,71,0.088071
MS2,4096,4,70,0.222876
FD2,4096,4,70,0.163438
MS4,4096,8,71,0.111431
FD4,4096,8,71,0.080585
MS2,4096,8,70,0.199287
FD2,4096,8,70,0.159416
MS4,4096,16,71,0.111073
FD4,4096,16,71,0.083362
MS2,4096,16,70,0.230482
FD2,4096,16,70,0.159345
MS4,4096,32,71,0.116350
FD4,4096,32,71,0.083831
MS2,4096,32,70,0.240083
FD2,4096,32,70,0.157231
MS4,8192,2,84,1.812838
FD4,8192,2,84,0.612299
MS2,8192,2,83,3.313313
FD2,8192,2,83,1.086845
MS4,8192,4,84,0.592542
FD4,8192,4,84,0.462267
MS2,8192,4,83,1.106462
FD2,8192,4,83,0.823704
MS4,8192,8,84,0.534883
FD4,8192,8,84,0.418548
MS2,8192,8,83,1.004030
FD2,8192,8,83,0.751888
MS4,8192,16,84,0.526644
FD4,8192,16,84,0.419876
MS2,8192,16,83,0.983973
FD2,8192,16,83,0.749136
MS4,8192,32,84,0.569950
FD4,8192,32,84,0.423162
MS2,8192,32,83,1.151093
FD2,8192,32,83,0.780536
MS4,16384,2,94,7.955452
FD4,16384,2,94,2.527060
MS2,16384,2,94,14.599388
FD2,16384,2,94,4.555227
MS4,16384,4,94,2.337918
FD4,16384,4,94,1.786784
MS2,16384,4,94,4.459654
FD2,16384,4,94,3.276505
MS4,16384,8,94,2.029396
FD4,16384,8,94,1.667852
MS2,16384,8,94,3.872389
FD2,16384,8,94,3.083637
MS4,16384,16,94,2.018856
FD4,16384,16,94,1.643643
MS2,16384,16,94,3.873156
FD2,16384,16,94,3.028394
MS4,16384,32,94,2.240963
FD4,16384,32,94,1.650340
MS2,16384,32,94,3.937740
FD2,16384,32,94,3.177283
MS4,32768,2,114,39.197330
FD4,32768,2,114,12.835166
MS2,32768,2,110,68.659810
FD2,32768,2,110,21.131870
MS4,32768,4,114,8.935054
FD4,32768,4,114,5.860856
MS2,32768,4,110,15.087469
FD2,32768,4,110,9.301701
MS4,32768,8,114,5.917228
FD4,32768,8,114,4.884867
MS2,32768,8,110,9.757987
FD2,32768,8,110,7.670467
MS4,32768,16,114,5.709666
FD4,32768,16,114,4.762299
MS2,32768,16,110,9.393510
FD2,32768,16,110,7.483862
MS4,32768,32,114,6.425432
FD4,32768,32,114,4.800146
MS2,32768,32,110,11.228975
FD2,32768,32,110,7.790525
MS4,65536,2,122,165.546807
FD4,65536,2,122,49.000378
MS2,65536,2,122,300.689507
FD2,65536,2,122,87.235468
MS4,65536,4,122,46.069917
FD4,65536,4,122,29.953222
MS2,65536,4,122,86.652906
FD2,65536,4,122,54.524496
MS4,65536,8,122,30.081443
FD4,65536,8,122,25.082725
MS2,65536,8,122,57.986130
FD2,65536,8,122,46.216903
MS4,65536,16,122,29.243436
FD4,65536,16,122,24.366330
MS2,65536,16,122,56.493907
FD2,65536,16,122,44.846099
MS4,65536,32,122,32.761040
FD4,65536,32,122,24.916036
MS2,65536,32,122,68.279082
FD2,65536,32,122,47.443259
SQ4,128,1,25,0.000430
SQ2,128,1,25,0.000943
SQ4,256,1,35,0.001401
SQ2,256,1,35,0.002791
SQ4,512,1,41,0.004071
SQ2,512,1,40,0.008980
SQ4,1024,1,49,0.016333
SQ2,1024,1,48,0.035839
SQ4,2048,1,63,0.079758
SQ2,2048,1,62,0.176775
SQ4,4096,1,71,0.378125
SQ2,4096,1,70,0.833059
SQ4,8192,1,84,1.646751
SQ2,8192,1,83,3.650366
SQ4,16384,1,94,7.200386
SQ2,16384,1,94,16.124215
SQ4,32768,1,114,35.237597
SQ2,32768,1,110,76.396789
SQ4,65536,1,122,148.593862
SQ2,65536,1,122,334.806245
