model,len,proc,itr,time
MS4,128,2,23,0.000347
FD4,128,2,23,0.000219
MS2,128,2,23,0.000650
FD2,128,2,23,0.000365
MS4,128,4,23,0.000412
FD4,128,4,23,0.000249
MS2,128,4,23,0.000610
FD2,128,4,23,0.000598
MS4,128,8,23,0.000678
FD4,128,8,23,0.000499
MS2,128,8,23,0.001111
FD2,128,8,23,0.000692
MS4,128,16,23,0.001680
FD4,128,16,23,0.000581
MS2,128,16,23,0.002572
FD2,128,16,23,0.000932
MS4,128,32,23,0.003472
FD4,128,32,23,0.000858
MS2,128,32,23,0.006167
FD2,128,32,23,0.001264
MS4,256,2,33,0.001154
FD4,256,2,33,0.000497
MS2,256,2,33,0.002115
FD2,256,2,33,0.000931
MS4,256,4,33,0.000672
FD4,256,4,33,0.000573
MS2,256,4,33,0.001214
FD2,256,4,33,0.000866
MS4,256,8,33,0.001146
FD4,256,8,33,0.000672
MS2,256,8,33,0.001743
FD2,256,8,33,0.001178
MS4,256,16,33,0.002240
FD4,256,16,33,0.001779
MS2,256,16,33,0.003678
FD2,256,16,33,0.001530
MS4,256,32,33,0.005170
FD4,256,32,33,0.001054
MS2,256,32,33,0.006969
FD2,256,32,33,0.003327
MS4,512,2,41,0.005453
FD4,512,2,41,0.001915
MS2,512,2,39,0.008311
FD2,512,2,39,0.002964
MS4,512,4,41,0.002163
FD4,512,4,41,0.001686
MS2,512,4,39,0.003444
FD2,512,4,39,0.002381
MS4,512,8,41,0.001980
FD4,512,8,41,0.001692
MS2,512,8,39,0.004131
FD2,512,8,39,0.002600
MS4,512,16,41,0.003508
FD4,512,16,41,0.001864
MS2,512,16,39,0.006072
FD2,512,16,39,0.003333
MS4,512,32,41,0.006087
FD4,512,32,41,0.001885
MS2,512,32,39,0.009887
FD2,512,32,39,0.003556
MS4,1024,2,51,0.019507
FD4,1024,2,51,0.007399
MS2,1024,2,49,0.034574
FD2,1024,2,49,0.012761
MS4,1024,4,51,0.007678
FD4,1024,4,51,0.005662
MS2,1024,4,49,0.013398
FD2,1024,4,49,0.009799
MS4,1024,8,51,0.007554
FD4,1024,8,51,0.006148
MS2,1024,8,49,0.013015
FD2,1024,8,49,0.009924
MS4,1024,16,51,0.010188
FD4,1024,16,51,0.006162
MS2,1024,16,49,0.017726
FD2,1024,16,49,0.011073
MS4,1024,32,51,0.012475
FD4,1024,32,51,0.007366
MS2,1024,32,49,0.023150
FD2,1024,32,49,0.011541
MS4,2048,2,60,0.085199
FD4,2048,2,60,0.028468
MS2,2048,2,60,0.158345
FD2,2048,2,60,0.052584
MS4,2048,4,60,0.025538
FD4,2048,4,60,0.019362
MS2,2048,4,60,0.050008
FD2,2048,4,60,0.036792
MS4,2048,8,60,0.024168
FD4,2048,8,60,0.018492
MS2,2048,8,60,0.052209
FD2,2048,8,60,0.033988
MS4,2048,16,60,0.025817
FD4,2048,16,60,0.018922
MS2,2048,16,60,0.054082
FD2,2048,16,60,0.035852
MS4,2048,32,60,0.029407
FD4,2048,32,60,0.018085
MS2,2048,32,60,0.051352
FD2,2048,32,60,0.036466
MS4,4096,2,72,0.397577
FD4,4096,2,72,0.127553
MS2,4096,2,71,0.727561
FD2,4096,2,71,0.236642
MS4,4096,4,72,0.121756
FD4,4096,4,72,0.087410
MS2,4096,4,71,0.236940
FD2,4096,4,71,0.165603
MS4,4096,8,72,0.099511
FD4,4096,8,72,0.085601
MS2,4096,8,71,0.197329
FD2,4096,8,71,0.154895
MS4,4096,16,72,0.105644
FD4,4096,16,72,0.083429
MS2,4096,16,71,0.199808
FD2,4096,16,71,0.162720
MS4,4096,32,72,0.109385
FD4,4096,32,72,0.083627
MS2,4096,32,71,0.272368
FD2,4096,32,71,0.162325
MS4,8192,2,83,1.776290
FD4,8192,2,83,0.523092
MS2,8192,2,82,3.257602
FD2,8192,2,82,0.945161
MS4,8192,4,83,0.421339
FD4,8192,4,83,0.322224
MS2,8192,4,82,0.807012
FD2,8192,4,82,0.594655
MS4,8192,8,83,0.305432
FD4,8192,8,83,0.238871
MS2,8192,8,82,0.573455
FD2,8192,8,82,0.451017
MS4,8192,16,83,0.321864
FD4,8192,16,83,0.240972
MS2,8192,16,82,0.574639
FD2,8192,16,82,0.454177
MS4,8192,32,83,0.329776
FD4,8192,32,83,0.240307
MS2,8192,32,82,0.649939
FD2,8192,32,82,0.466084
MS4,16384,2,94,8.088505
FD4,16384,2,94,2.751816
MS2,16384,2,94,14.857202
FD2,16384,2,94,4.946557
MS4,16384,4,94,2.781852
FD4,16384,4,94,2.209992
MS2,16384,4,94,5.257142
FD2,16384,4,94,4.014892
MS4,16384,8,94,2.053686
FD4,16384,8,94,1.711820
MS2,16384,8,94,3.953472
FD2,16384,8,94,3.145674
MS4,16384,16,94,1.986440
FD4,16384,16,94,1.635450
MS2,16384,16,94,3.802012
FD2,16384,16,94,3.021522
MS4,16384,32,94,2.133674
FD4,16384,32,94,1.651837
MS2,16384,32,94,4.538627
FD2,16384,32,94,2.995916
MS4,32768,2,108,36.002578
FD4,32768,2,108,10.682298
MS2,32768,2,108,65.673782
FD2,32768,2,108,19.130933
MS4,32768,4,108,7.108384
FD4,32768,4,108,5.228596
MS2,32768,4,108,13.817047
FD2,32768,4,108,9.797777
MS4,32768,8,108,5.784469
FD4,32768,8,108,4.786334
MS2,32768,8,108,11.402777
FD2,32768,8,108,9.021503
MS4,32768,16,108,5.354603
FD4,32768,16,108,4.442841
MS2,32768,16,108,10.635836
FD2,32768,16,108,8.460900
MS4,32768,32,108,5.429746
FD4,32768,32,108,4.511483
MS2,32768,32,108,10.776933
FD2,32768,32,108,8.881258
MS4,65536,2,126,180.029616
FD4,65536,2,126,64.673995
MS2,65536,2,124,322.370395
FD2,65536,2,124,111.736865
MS4,65536,4,126,61.997791
FD4,65536,4,126,40.083996
MS2,65536,4,124,111.998228
FD2,65536,4,124,69.433175
MS4,65536,8,126,29.995732
FD4,65536,8,126,24.207812
MS2,65536,8,124,55.402992
FD2,65536,8,124,42.810885
MS4,65536,16,126,29.312631
FD4,65536,16,126,23.805810
MS2,65536,16,124,54.212675
FD2,65536,16,124,42.138250
MS4,65536,32,126,32.248409
FD4,65536,32,126,24.273201
MS2,65536,32,124,54.125857
FD2,65536,32,124,43.572783
SQ4,128,1,23,0.000404
SQ2,128,1,23,0.000709
SQ4,256,1,33,0.001447
SQ2,256,1,33,0.002509
SQ4,512,1,41,0.004297
SQ2,512,1,39,0.009081
SQ4,1024,1,51,0.017671
SQ2,1024,1,49,0.037151
SQ4,2048,1,60,0.077410
SQ2,2048,1,60,0.172326
SQ4,4096,1,72,0.360376
SQ2,4096,1,71,0.794427
SQ4,8192,1,83,1.617517
SQ2,8192,1,82,3.570572
SQ4,16384,1,94,7.321562
SQ2,16384,1,94,16.413590
SQ4,32768,1,108,32.429984
SQ2,32768,1,108,72.795303
SQ4,65536,1,126,161.612291
SQ2,65536,1,124,359.892227
