model,len,proc,itr,time
MS4,128,2,21,0.000312
FD4,128,2,21,0.000206
MS2,128,2,21,0.000598
FD2,128,2,21,0.000342
MS4,128,4,21,0.000358
FD4,128,4,21,0.000286
MS2,128,4,21,0.000553
FD2,128,4,21,0.000386
MS4,128,8,21,0.000669
FD4,128,8,21,0.000429
MS2,128,8,21,0.001065
FD2,128,8,21,0.000631
MS4,128,16,21,0.001552
FD4,128,16,21,0.000700
MS2,128,16,21,0.002517
FD2,128,16,21,0.000870
MS4,128,32,21,0.003232
FD4,128,32,21,0.000783
MS2,128,32,21,0.005315
FD2,128,32,21,0.001177
MS4,256,2,31,0.001111
FD4,256,2,31,0.000464
MS2,256,2,31,0.001994
FD2,256,2,31,0.000893
MS4,256,4,31,0.000619
FD4,256,4,31,0.000398
MS2,256,4,31,0.001069
FD2,256,4,31,0.000868
MS4,256,8,31,0.000777
FD4,256,8,31,0.000626
MS2,256,8,31,0.001556
FD2,256,8,31,0.001189
MS4,256,16,31,0.002179
FD4,256,16,31,0.000936
MS2,256,16,31,0.003333
FD2,256,16,31,0.001533
MS4,256,32,31,0.006976
FD4,256,32,31,0.001142
MS2,256,32,31,0.006881
FD2,256,32,31,0.001864
MS4,512,2,41,0.004600
FD4,512,2,41,0.001578
MS2,512,2,40,0.008398
FD2,512,2,40,0.003002
MS4,512,4,41,0.001880
FD4,512,4,41,0.000866
MS2,512,4,40,0.003369
FD2,512,4,40,0.001687
MS4,512,8,41,0.001469
FD4,512,8,41,0.001024
MS2,512,8,40,0.002713
FD2,512,8,40,0.002070
MS4,512,16,41,0.002725
FD4,512,16,41,0.001312
MS2,512,16,40,0.004813
FD2,512,16,40,0.002461
MS4,512,32,41,0.005498
FD4,512,32,41,0.002310
MS2,512,32,40,0.008573
FD2,512,32,40,0.002698
MS4,1024,2,49,0.017869
FD4,1024,2,49,0.006168
MS2,1024,2,49,0.032640
FD2,1024,2,49,0.011460
MS4,1024,4,49,0.005561
FD4,1024,4,49,0.004115
MS2,1024,4,49,0.011060
FD2,1024,4,49,0.008050
MS4,1024,8,49,0.005418
FD4,1024,8,49,0.004336
MS2,1024,8,49,0.012681
FD2,1024,8,49,0.008031
MS4,1024,16,49,0.008112
FD4,1024,16,49,0.004432
MS2,1024,16,49,0.014726
FD2,1024,16,49,0.008611
MS4,1024,32,49,0.010163
FD4,1024,32,49,0.004536
MS2,1024,32,49,0.020139
FD2,1024,32,49,0.008213
MS4,2048,2,58,0.079853
FD4,2048,2,58,0.026555
MS2,2048,2,58,0.148283
FD2,2048,2,58,0.049325
MS4,2048,4,58,0.026573
FD4,2048,4,58,0.020692
MS2,2048,4,58,0.050378
FD2,2048,4,58,0.037882
MS4,2048,8,58,0.026370
FD4,2048,8,58,0.019832
MS2,2048,8,58,0.056762
FD2,2048,8,58,0.035996
MS4,2048,16,58,0.027811
FD4,2048,16,58,0.019622
MS2,2048,16,58,0.058358
FD2,2048,16,58,0.039579
MS4,2048,32,58,0.032457
FD4,2048,32,58,0.025706
MS2,2048,32,58,0.051899
FD2,2048,32,58,0.039262
MS4,4096,2,72,0.414138
FD4,4096,2,72,0.137736
MS2,4096,2,71,0.758160
FD2,4096,2,71,0.248407
MS4,4096,4,72,0.134356
FD4,4096,4,72,0.104719
MS2,4096,4,71,0.249570
FD2,4096,4,71,0.189189
MS4,4096,8,72,0.127813
FD4,4096,8,72,0.100073
MS2,4096,8,71,0.248895
FD2,4096,8,71,0.181833
MS4,4096,16,72,0.138248
FD4,4096,16,72,0.102905
MS2,4096,16,71,0.281732
FD2,4096,16,71,0.188515
MS4,4096,32,72,0.127885
FD4,4096,32,72,0.110515
MS2,4096,32,71,0.291546
FD2,4096,32,71,0.194594
MS4,8192,2,83,1.792621
FD4,8192,2,83,0.518730
MS2,8192,2,83,3.303532
FD2,8192,2,83,0.948008
MS4,8192,4,83,0.422895
FD4,8192,4,83,0.317557
MS2,8192,4,83,0.825873
FD2,8192,4,83,0.600328
MS4,8192,8,83,0.355256
FD4,8192,8,83,0.300177
MS2,8192,8,83,0.732654
FD2,8192,8,83,0.572811
MS4,8192,16,83,0.370633
FD4,8192,16,83,0.304560
MS2,8192,16,83,0.771678
FD2,8192,16,83,0.575461
MS4,8192,32,83,0.405658
FD4,8192,32,83,0.321712
MS2,8192,32,83,0.762623
FD2,8192,32,83,0.578903
MS4,16384,2,99,8.748698
FD4,16384,2,99,2.829883
MS2,16384,2,97,15.753775
FD2,16384,2,97,4.943126
MS4,16384,4,99,2.754678
FD4,16384,4,99,2.180134
MS2,16384,4,97,5.047161
FD2,16384,4,97,3.828732
MS4,16384,8,99,2.548122
FD4,16384,8,99,2.110904
MS2,16384,8,97,4.673685
FD2,16384,8,97,3.724377
MS4,16384,16,99,2.528128
FD4,16384,16,99,2.106194
MS2,16384,16,97,4.664825
FD2,16384,16,97,3.697260
MS4,16384,32,99,2.595194
FD4,16384,32,99,2.158732
MS2,16384,32,97,4.686670
FD2,16384,32,97,3.890721
MS4,32768,2,108,36.934390
FD4,32768,2,108,12.674298
MS2,32768,2,108,67.324698
FD2,32768,2,108,22.605366
MS4,32768,4,108,12.602052
FD4,32768,4,108,9.967079
MS2,32768,4,108,23.630593
FD2,32768,4,108,17.919240
MS4,32768,8,108,10.412296
FD4,32768,8,108,8.669584
MS2,32768,8,108,19.715023
FD2,32768,8,108,15.723793
MS4,32768,16,108,10.261232
FD4,32768,16,108,8.573297
MS2,32768,16,108,19.515269
FD2,32768,16,108,15.564363
MS4,32768,32,108,10.429120
FD4,32768,32,108,8.883830
MS2,32768,32,108,23.670183
FD2,32768,32,108,16.424473
MS4,65536,2,122,161.470083
FD4,65536,2,122,48.967705
MS2,65536,2,122,293.260750
FD2,65536,2,122,86.981933
MS4,65536,4,122,41.483790
FD4,65536,4,122,31.579618
MS2,65536,4,122,78.401550
FD2,65536,4,122,57.368515
MS4,65536,8,122,35.320588
FD4,65536,8,122,29.373798
MS2,65536,8,122,67.454284
FD2,65536,8,122,53.539767
MS4,65536,16,122,34.673018
FD4,65536,16,122,28.970386
MS2,65536,16,122,66.260318
FD2,65536,16,122,52.917401
MS4,65536,32,122,35.242656
FD4,65536,32,122,29.960158
MS2,65536,32,122,80.839561
FD2,65536,32,122,53.665249
SQ4,128,1,21,0.000355
SQ2,128,1,21,0.000692
SQ4,256,1,31,0.001197
SQ2,256,1,31,0.002275
SQ4,512,1,41,0.004566
SQ2,512,1,40,0.009079
SQ4,1024,1,49,0.015998
SQ2,1024,1,49,0.035436
SQ4,2048,1,58,0.072622
SQ2,2048,1,58,0.161671
SQ4,4096,1,72,0.376563
SQ2,4096,1,71,0.824993
SQ4,8192,1,83,1.628252
SQ2,8192,1,83,3.627142
SQ4,16384,1,99,7.884099
SQ2,16384,1,97,17.385696
SQ4,32768,1,108,33.222509
SQ2,32768,1,108,74.747159
SQ4,65536,1,122,145.005608
SQ2,65536,1,122,326.775785
